data;temp;
2021-05-23;11.4;
2021-05-24;9.2;
2021-05-25;11.5;
2021-05-26;13.6;
2021-05-27;17.3;
2021-05-28;21.3;
2021-05-29;19.2;
2021-05-30;13.5;
2021-05-31;12.7;
2021-06-01;14.6;
2021-06-02;16.5;
2021-06-03;17.2;
2021-06-04;20.5;
2021-06-05;22.4;
2021-06-06;14.9;
2021-06-07;15.9;
2021-06-08;14.9;
2021-06-09;17.2;
2021-06-10;16.3;
2021-06-11;14.1;
2021-06-12;11.7;
2021-06-13;12.8;
2021-06-14;14.7;
2021-06-15;13.6;
2021-06-16;11.2;
2021-06-17;9.2;
2021-06-18;11.7;
2021-06-19;12.7;
2021-06-20;12.1;
2021-06-21;10.9;
2021-06-22;14;
2021-06-23;15.1;
2021-06-24;16.2;
2021-06-25;14.9;
2021-06-26;21.2;
2021-06-27;11.8;
2021-06-28;5.1;
2021-06-29;3.3;
2021-06-30;4.6;
2021-07-01;8.8;
2021-07-02;12.8;
2021-07-03;11.3;
2021-07-04;11.2;
2021-07-05;15.4;
2021-07-06;14.4;
2021-07-07;14.8;
2021-07-08;15.4;
2021-07-09;13.9;
2021-07-10;16;
2021-07-11;17.2;
2021-07-12;17.2;
2021-07-13;20;
2021-07-14;19.5;
2021-07-15;16.3;
2021-07-16;12.5;
2021-07-17;12.9;
2021-07-18;6.8;
2021-07-19;5.6;
2021-07-20;7.1;
2021-07-21;12.7;
2021-07-22;16.5;
2021-07-23;18.4;
2021-07-24;20.1;
2021-07-25;20.8;
2021-07-26;22.6;
2021-07-27;12.5;
2021-07-28;3.9;
2021-07-29;3.4;
2021-07-30;6.4;
2021-07-31;10.6;
2021-08-01;13.5;
2021-08-02;13.5;
2021-08-03;12.1;
2021-08-04;13.1;
2021-08-05;15.5;
2021-08-06;17.2;
2021-08-07;19.5;
2021-08-08;20.4;
2021-08-09;21.3;
2021-08-10;15.8;
2021-08-11;13;
2021-08-12;11.1;
2021-08-13;13.4;
2021-08-14;15.1;
2021-08-15;17.2;
2021-08-16;19.8;
2021-08-17;22.5;
2021-08-18;25.5;
2021-08-19;25.6;
2021-08-20;24.8;
2021-08-21;null;
2021-08-22;null;
2021-08-23;null;
2021-08-24;null;
2021-08-25;null;
2021-08-26;null;
2021-08-27;null;
2021-08-28;15.6;
2021-08-29;18;
2021-08-30;18.4;
2021-08-31;19.8;
2021-09-01;20.1;
2021-09-02;null;
2021-09-03;null;
2021-09-04;null;
2021-09-05;null;
2021-09-06;null;
2021-09-07;null;
2021-09-08;null;
2021-09-09;null;
2021-09-10;null;
2021-09-11;null;
2021-09-12;null;
2021-09-13;null;
2021-09-14;null;
2021-09-15;null;
2021-09-16;null;
2021-09-17;null;
2021-09-18;null;
2021-09-19;null;
2021-09-20;null;
2021-09-21;null;
2021-09-22;null;
2021-09-23;null;
2021-09-24;null;
2021-09-25;null;
2021-09-26;null;
2021-09-27;null;
2021-09-28;null;
2021-09-29;20.8;
2021-09-30;20.3;
2021-10-01;19.9;
2021-10-02;19.1;
2021-10-03;17.5;
2021-10-04;17.4;
2021-10-05;17.1;
2021-10-06;19.3;
2021-10-07;18.3;
2021-10-08;18.1;
2021-10-09;16.9;
2021-10-10;19.1;
2021-10-11;19.4;
2021-10-12;20.4;
2021-10-13;22.6;
2021-10-14;22.3;
2021-10-15;18.5;
2021-10-16;16.6;
2021-10-17;17.1;
2021-10-18;17.8;
2021-10-19;17.9;
2021-10-20;17.9;
2021-10-21;18.7;
2021-10-22;21.1;
2021-10-23;16.9;
2021-10-24;16.2;
2021-10-25;18;
2021-10-26;22.1;
2021-10-27;23.3;
2021-10-28;22.4;
2021-10-29;21.9;
2021-10-30;21.8;
2021-10-31;21.4;
2021-11-01;22.1;
2021-11-02;23.6;
2021-11-03;22.3;
2021-11-04;23.7;
2021-11-05;24.3;
2021-11-06;21.4;
2021-11-07;22.7;
2021-11-08;23.9;
2021-11-09;22.8;
2021-11-10;22;
2021-11-11;21.9;
2021-11-12;21.2;
2021-11-13;21.4;
2021-11-14;20.6;
2021-11-15;23.7;
2021-11-16;25.8;
2021-11-17;21.6;
2021-11-18;19.2;
2021-11-19;19.6;
2021-11-20;21.3;
2021-11-21;23.7;
2021-11-22;25.9;
2021-11-23;25.8;
2021-11-24;25.2;
2021-11-25;26.1;
2021-11-26;20.3;
2021-11-27;20.9;
2021-11-28;21.9;
2021-11-29;20.3;
2021-11-30;20.6;
2021-12-01;22.3;
2021-12-02;23.8;
